names	lfc	padj
CTD-2291D10.1	2.289013	1.7774644500017893e-149
DOC2A	2.2858975	1.9505433753444257e-103
BAALC	2.2856987	7.431084572239385e-147
RLTPR	2.2854452	3.093179925164655e-151
HCRTR2	2.2833533	9.642776697425813e-138
NECAB1	2.2822256	4.357754918414143e-134
LUZP2	2.2804794	2.834223749061317e-159
RFTN1	2.280317	1.6305993154438206e-142
STMN1	2.269926	2.972005845317059e-153
SLC6A17	2.2610304	2.45581913347373e-150
TMEFF2	2.2592447	4.292023198592497e-135
NANOS3	2.255548	1.7459756109643149e-180
RP11-173M1.4	2.2505693	1.7250238481903604e-91
PRKAR2B	2.2445464	5.705536630914913e-150
TMEM196	2.244104	5.286600713391907e-150
AC006946.15	2.2419362	1.5711927447871172e-161
FBLL1	2.235264	8.934472563143833e-163
RP11-356J5.12	2.2341752	8.977104754070406e-145
TMEM191B	2.2321155	5.234265973612374e-147
FAM222A	2.2289522	2.726814439669036e-180
MT1F	2.2270901	1.7927464946846194e-148
ACTL6B	2.224726	6.2323124507356544e-136
CLTB	2.223704	5.037017382647595e-196
GLRX	2.22188	1.2654730707940805e-164
SORCS3	2.2154922	1.5964081952068648e-136
GADL1	2.207813	1.8519463119185308e-134
SERP2	2.205235	3.251922820448521e-181
OCIAD2	2.2026613	2.4632023887525883e-193
TMEM31	2.2015798	2.057091772903507e-112
GJD2	2.201024	5.9705105122448995e-124
CTD-2396E7.10	2.1995108	1.919922028820031e-150
FRRS1L	2.1980166	3.6276597186433524e-148
GABRB1	2.1975756	2.546883686179279e-133
RUNDC3A	2.1936216	5.201648237088987e-146
GLTPD2	2.1923375	2.2804228049495876e-147
TPD52	2.1842644	6.356095459237537e-153
CELF3	2.1830945	5.018535948278589e-124
FSTL5	2.1822727	6.312442493574489e-55
IPCEF1	2.18114	1.0573231899382254e-107
RP11-247A12.2	2.181065	3.486779557857998e-133
LINC01535	2.1789908	1.109034713505905e-98
HCFC1R1	2.1784978	2.601537868360744e-204
CDKN1C	2.1729984	8.915107605937526e-90
PACSIN1	2.171684	1.8333195414187333e-147
LHX9	2.171489	1.3300181123619196e-83
GNG13	2.168199	5.306595528934554e-144
MGAT4C	2.1658597	1.6328971651152372e-135
JAKMIP1	2.1647344	1.8772961976258383e-134
RP11-1336O20.2	2.1631863	3.4098141769303066e-115
RP11-539I5.1	2.1595206	5.003244864755681e-99
LINC00645	2.1584811	1.3076426692282015e-150
LIN37	2.1573448	1.4041826996865818e-174
CHGA	2.143459	1.3711780889216576e-135
CDHR2	2.1423035	2.561170622626666e-129
CTB-12O2.1	2.14114	5.122944980875792e-71
ST18	2.1410367	1.2839590853804573e-134
LINGO1	2.1387765	6.547668247223214e-137
SHD	2.1347888	4.876016464516192e-154
CALY	2.1343238	5.4632329317122695e-139
UNCX	2.1329904	1.8039361339267362e-122
MCF2	2.1329744	4.560090624042006e-98
GSTA4	2.1312568	1.4059660139481955e-185
FBXO2	2.1276424	7.219276318738368e-134
RIIAD1	2.1266458	6.284298530748412e-152
RP11-561B11.6	2.1238177	1.2334735585263042e-141
NDUFB8	2.1205904	6.888065725127028e-149
CBLN2	2.1178637	2.7759209240933717e-86
KCNH7	2.1172042	8.705954593664077e-165
PRCD	2.1164548	1.290857712862792e-171
RELN	2.116063	1.8130652046800127e-144
MAP1LC3A	2.113516	1.0898981112168042e-150
VSTM2B	2.113294	8.841408824754048e-131
AC079610.2	2.111823	2.5544255228995255e-99
CTD-2396E7.9	2.1116004	1.6206014763733628e-173
CAMK2B	2.110775	2.2522248121083663e-134
OLFM2	2.1105037	4.886723022044095e-161
PRTN3	2.1103292	1.9735215852857437e-90
DGKI	2.1101668	9.073436679304909e-138
CTD-2316B1.1	2.1078756	1.1613940518354578e-66
CTD-2033C11.1	2.1068654	1.0960521545569669e-164
TNIK	2.1033769	6.95221823171165e-159
RP11-182J1.3	2.1013508	2.2406370578543765e-103
RP11-123K19.1	2.0989826	6.030328617328188e-83
TAC1	2.0977645	1.0138776859384387e-122
COMTD1	2.0966516	6.160571288678825e-154
CYGB	2.0920205	2.6668843592316313e-155
SLC1A2	2.0890222	8.761393976838837e-154
HN1	2.0877678	1.4244227218520354e-166
PHACTR3	2.0876098	2.0407530592138478e-161
DLK1	2.0854867	2.2717820790957237e-101
CNTN4	2.0847018	3.053858876986474e-134
LL0XNC01-116E7.2	2.081862	1.4463808446397456e-184
SPAG6	2.076922	1.885647121282045e-116
SCN9A	2.0761917	4.962923573987681e-123
APBA1	2.0748663	8.125793766299056e-145
MAST1	2.0698166	9.928110318323167e-170
PAFAH1B3	2.0654743	1.705776285127143e-167
SLC8A3	2.0652096	5.102319966905108e-144
GOLGA7B	2.0645964	1.328556912855403e-135
SH3GL3	2.062867	1.375018613438206e-144
PPP2R2B	2.06277	2.574759293406486e-137
LRRC73	2.0608227	9.46097470638163e-173
RIMKLA	2.0603757	7.391104686763539e-177
FAM89B	2.059716	6.612390089011619e-203
SEPW1	2.0541153	1.8722524444671726e-183
AC005944.2	2.0501754	1.4595878201666954e-152
IGSF21	2.0489876	2.1140422617036685e-63
PTPN5	2.0472143	2.462068225410424e-163
NEURL1	2.0464358	2.9089775711507247e-149
C2orf80	2.0461009	3.676131817274821e-134
SYT13	2.0444698	4.053172279576793e-108
ICA1	2.044369	5.464658223464721e-144
ELAVL3	2.043916	1.8803236159621006e-87
TRIM36	2.0350335	9.941393862085166e-184
ANK3	2.0336509	6.710039268382164e-117
LURAP1L	2.0319724	5.646417196732702e-136
PDZRN4	2.023052	5.903578398062688e-69
LHX1	2.0228899	4.5968035680414797e-138
HS6ST3	2.0226934	5.490976440872311e-83
SCG2	2.0217996	2.1453954562937657e-104
DYNLT1	2.0216928	2.890145954173381e-197
CHGB	2.02131	7.019904736090781e-120
CEND1	2.0206823	3.3375764855463384e-154
BARHL2	2.0161784	7.60851761491117e-119
GPM6A	2.0130124	5.2979085438089144e-126
MYL6	2.0108614	3.908145447235818e-126
KISS1R	2.009727	8.539317071140681e-115
MIR4500HG	2.0091443	1.3260991404932516e-140
MAPRE3	2.0086849	6.2737920120924385e-161
P2RX3	2.0051003	1.3353247224795254e-138
LRRTM4	1.9965128	4.2822279664526335e-129
CTD-2554C21.2	1.9938596	4.4458231819389705e-99
LMTK3	1.9922596	1.9736988820043195e-153
CCNA1	1.9910463	2.246026905272137e-140
PANX2	1.9906838	1.9575432333120528e-123
NALCN	1.9904108	2.6775981435124372e-114
FGF12	1.9897844	1.1351961696532708e-102
TAC3	1.9874462	1.7443070988635953e-116
CTC-273B12.10	1.9869642	1.0709393616634032e-156
NPIPB9	1.9831744	3.751792579254153e-109
EPS8L1	1.9799281	2.1437615782488175e-109
FTH1	1.9785783	4.146218719637754e-176
ANKRD55	1.9784375	2.0725686043192352e-91
AC084809.3	1.9779303	1.0278200501773116e-59
AC012507.3	1.9754984	3.6036980752270316e-140
FGF20	1.9754497	1.6707064627378203e-137
STAC2	1.9750335	1.1244011577456326e-106
GRIN2D	1.9746921	6.139730012577136e-153
SLIT1	1.9741937	8.359813661263375e-138
CADM3	1.9726447	9.103476360840855e-132
RP11-710C12.1	1.9706873	7.937450269571359e-103
MIR217HG	1.9706162	3.818832433739149e-132
IMPG1	1.968134	2.8193005408593686e-106
MAP2	1.9671354	6.223584444071502e-132
VWC2	1.9668496	9.670086142604832e-123
STXBP5L	1.9660884	1.372133143289262e-143
CARTPT	1.964449	1.7171721163716207e-133
NCAM1	1.9633136	4.002025807760156e-133
NAPB	1.9623743	2.2740608855746985e-170
SHTN1	1.9602137	2.5088997851407697e-136
L1CAM	1.960126	2.2746041108969175e-100
GAL	1.9580028	5.6594265882926546e-62
MAP6	1.9574534	2.927741926869453e-163
RP11-491F9.1	1.9572736	3.53340303274831e-105
CTD-2269F5.1	1.9538289	2.143781176608732e-136
NGB	1.9508551	2.0149410221412636e-131
FEZ1	1.9479376	2.503099902208276e-178
RAB33A	1.9475023	1.1743157798492746e-132
SOX11	1.946703	8.951213679635927e-116
RTP1	1.946623	1.3601735651172089e-126
TLE6	1.944989	9.497579550232998e-148
SYT1	1.9444972	1.922168603057751e-126
NCCRP1	1.9440169	5.748022316772493e-83
ZRANB2-AS1	1.9439988	2.716136962706695e-131
FAM26F	1.943758	4.92554432993215e-129
RP11-216B9.6	1.9436823	1.534148225579176e-159
NLRC3	1.9416646	3.578031605146918e-197
GIP	1.9391663	8.338969492501818e-152
C20orf195	1.9384161	1.4328914451537564e-175
LRRN3	1.9383696	1.3958216530585332e-116
TMEM130	1.9380842	4.1246179151324855e-132
RALYL	1.9366182	1.9468731638447096e-118
DCLK1	1.9356554	8.533968510403209e-149
DCX	1.9347194	3.1633850794987684e-109
CRH	1.9324671	5.500726629121773e-118
RP11-178L8.7	1.9314457	5.7798582767422544e-92
SMPD3	1.93042	1.1208348094015488e-129
RUSC2	1.9205768	3.4546958771440305e-162
STX1B	1.9185034	2.3465430921381523e-170
GFY	1.9174356	5.182326610956056e-63
RAI2	1.9168922	5.766942299382565e-138
KIFAP3	1.9151284	2.1357977676812756e-146
MT-ND2	1.9148927	6.5426227039020094e-167
OPTN	1.9124058	1.7400963282822512e-130
RIPPLY2	1.911974	9.639713528193927e-136
RP5-837I24.4	1.9102812	3.0645968902468824e-107
ADCYAP1	1.9095031	1.7516361187225883e-117
MIMT1	1.9081612	3.589927351321481e-86
NRP2	1.9071949	2.0258037682357604e-95
GABARAPL2	1.9062415	3.244343676405873e-176
WNT4	1.9037528	4.462402312759413e-117
SAMD11	1.8999395	4.9651442433002966e-130
MCHR1	1.8989509	4.825518267581372e-147
MPP2	1.8981059	2.5226903907516342e-165
ONECUT3	1.8939651	2.5771293539045666e-119
ARG2	1.8918406	1.0939613447249658e-173
RP11-85G18.6	1.8887473	2.3500060844798827e-90
PCDHGC4	1.887648	7.332901345232087e-95
TERF2IP	1.8861774	2.992430375724196e-134
LBX1	1.8835348	2.0114390508958673e-76
CXADR	1.8819119	2.4940096096083603e-135
ZFHX4-AS1	1.8817701	6.981649184468683e-113
FAM26D	1.8813696	2.533156849811393e-129
FGF8	1.8792844	1.7481153393923985e-121
SUSD4	1.8789437	3.979399883433594e-148
SEZ6	1.8787813	2.0550192125203455e-141
KIF1A	1.8770907	7.060666620940267e-177
ENO2	1.8759134	1.0267461965021993e-161
XKR4	1.8721718	1.9818003864749413e-140
RP13-766D20.4	1.8690822	1.1616587785223002e-136
PNOC	1.8685869	3.2627224472665394e-103
NPPB	1.867596	5.892439805496537e-136
CDC42	1.8670824	7.298201876302819e-163
SRCIN1	1.8667028	4.922011893276982e-159
ZNF208	1.8666874	1.5379229894186203e-106
MYT1	1.8657895	5.360169266425425e-129
ATP8B4	1.8649437	5.20601355566268e-34
FOXN3-AS1	1.8624085	7.201736497085088e-151
APLP1	1.8617963	8.382642646422794e-130
RP11-472M19.2	1.8608023	2.8090032938241523e-101
NPM2	1.8577487	1.5223394839046195e-127
NKAIN1	1.8540943	5.098108882670302e-186
RP11-513D5.2	1.8540616	1.0013523365342573e-164
AZU1	1.8534667	2.219941911754133e-157
LHFPL3	1.8517474	3.3670267819643165e-103
CACNA1E	1.8466207	5.677602870288785e-123
C2orf72	1.8445919	1.675220422107784e-141
RP11-521D12.5	1.8434635	5.093902300595459e-139
CHRNA4	1.840694	1.5415376658275994e-131
PEG3	1.8406374	8.93444352214942e-75
NEURL3	1.8396239	1.880446880633085e-134
NXPH4	1.8372447	2.6175651975724663e-137
RUNDC3B	1.837109	1.378983805659142e-131
SYCE1	1.8369639	0.21646846333740305
AC136352.5	1.835062	2.1423170577700338e-135
SIT1	1.8347893	2.1774969610405405e-129
RAB3C	1.8320565	1.6878194388350515e-160
ZCCHC12	1.8318416	3.4434530505359324e-135
IP6K3	1.8311726	0.0021426667908034393
GRIA2	1.8301791	2.1787013432692374e-118
B4GALT1-AS1	1.8265862	2.544517861138864e-139
SNRPN	1.8263474	1.3616250328583226e-177
SVBP	1.8255324	4.990285331722571e-178
SLC17A6	1.8250194	1.5281002598514486e-100
KIF21B	1.8240259	6.0342220696441414e-139
CALB2	1.8178422	9.282404290260773e-125
VWA5A	1.8172786	1.047818090480522e-148
RGAG1	1.8169203	2.096005723882201e-132
GNG8	1.8168854	1.841736124125243e-120
CDK5R2	1.8167446	1.828136976147022e-127
YPEL3	1.816698	2.852522832245908e-154
CELF4	1.816586	1.921633669802115e-117
AGAP2	1.8151226	3.365283561064962e-154
RP11-98D18.15	1.8138881	1.4434754267141432e-134
SHISA2	1.810809	1.436252237722352e-31
LINC00437	1.8107884	5.055429868088235e-42
SMKR1	1.8099742	6.399807523161299e-127
STXBP1	1.8086011	5.044423421757795e-132
KLC1	1.8066593	5.649339992549321e-158
CCDC28B	1.8051274	2.0673305065009532e-185
RP11-482M8.3	1.8047271	1.066115680342346e-48
BRINP1	1.8041961	2.0303368529752002e-129
TUBA3D	1.8013598	5.461852708746205e-135
TCEAL2	1.8012336	7.208989562040579e-126
TMEM74B	1.7996805	4.674197748433149e-96
AK1	1.7994629	1.8232468683322334e-185
MMP24	1.7991431	3.9347147320970537e-132
SYT4	1.7986568	2.9427012073934765e-101
BSN	1.7976576	9.729256604713641e-136
C22orf42	1.7971342	3.0274704679818475e-121
UBE2E3	1.7953116	1.338896997377848e-174
GALNT8	1.7929265	2.315844284930293e-101
CCDC184	1.790209	2.731964475611111e-119
CD8A	1.789791	7.086275952981382e-145
SLN	1.7869542	4.3977021228357744e-94
MT-ND3	1.7863499	5.9250317044508314e-139
ERAS	1.7848482	4.6626586936838017e-66
MT-CYB	1.7832996	9.22014671098504e-134
ZNF491	1.7828546	8.443588682441211e-87
FKBP1B	1.7816448	7.090566895167331e-189
CRIP2	1.7789639	5.104578140311133e-179
CEP19	1.7789595	7.83645887111761e-124
RP4-612B15.3	1.7776734	1.1835209540779947e-162
TSPAN13	1.7766348	5.727333152024511e-158
BASP1	1.7760402	7.480446815538109e-89
RP11-506K6.4	1.7748531	1.076958997999935e-139
MAP3K10	1.7747078	7.026145883618538e-201
IRX6	1.7736635	9.163592732647821e-80
TSTD1	1.7723758	3.496857588425678e-176
LINC01122	1.7668405	1.3676477749715696e-137
ENHO	1.7664131	1.1205604079825544e-134
RP1-140A9.1	1.7660301	3.9844817846340354e-172
RP11-775C24.5	1.7656955	9.670980606340356e-149
RP11-382D12.2	1.764866	3.7696683074615045e-138
ARAP2	1.764439	6.304407238234783e-69
PNMAL2	1.7632803	2.6677572549070002e-114
CCSAP	1.7614151	1.5217256818801647e-90
RP4-791M13.3	1.7608008	1.7715850445406138e-70
RASGEF1B	1.7599273	3.220439949421218e-56
AKR1C2	1.7587308	3.483836735017696e-115
DACH2	1.7580448	2.9994038405577354e-129
CTNNA2	1.7576146	4.52082801233326e-155
FAIM2	1.7560356	3.0982265805862944e-132
TMC2	1.7516595	7.604812729013486e-72
MTRNR2L6	1.7515469	6.388182759888699e-82
ETFB	1.7505232	3.829248054850198e-159
BRSK1	1.7487352	8.686002150893752e-159
C22orf23	1.7474126	5.702902824427291e-99
LIPJ	1.7457964	2.2107196669003874e-89
CTD-2091N23.1	1.745036	5.970908538096055e-69
ZCCHC18	1.7444977	2.0798250339071028e-136
ADAM29	1.7440988	7.904219313452321e-130
CA10	1.7431015	1.3940721698934497e-124
PDE6H	1.7427796	5.347126147131566e-15
MEIS1	1.74243	4.779905769626874e-136
ZC2HC1A	1.7412984	7.076886967128955e-115
MIR7-3HG	1.7410005	4.939835174723374e-123
RP11-88H9.2	1.7403601	3.833606487747561e-116
RP11-586D19.1	1.7402526	2.5127939056402243e-139
RP11-166B2.1	1.7389019	1.4746362893871233e-76
APC2	1.7379405	2.116618467110835e-128
FAM229A	1.737689	4.183698848970369e-112
PAPPA-AS1	1.7366369	6.12667120923902e-130
INPP5J	1.7350733	1.3063678232277396e-68
PLA2G4C	1.734526	6.614926116968504e-130
ARMCX3-AS1	1.7324637	1.5260893415943348e-98
GPR85	1.7304767	2.16164804142713e-137
TNFSF14	1.7297628	2.0352616312754952e-130
GPR149	1.7286946	6.175711150490104e-144
WSB2	1.7277448	3.9425226416994934e-185
RBKS	1.7274985	4.0631610166811184e-131
TTC3	1.727319	1.0679258688224097e-162
CFAP58-AS1	1.7270939	1.3104977215114231e-141
CTD-2265O21.3	1.7268922	1.544386055361009e-130
GPR176	1.7265283	3.6222448879234565e-108
NAP1L5	1.7254974	5.580488696180443e-152
RP11-115H18.1	1.7252048	5.326907448674646e-152
RP11-783K16.5	1.7245743	2.3759213278400287e-132
MYO16	1.7242244	2.32882705514025e-142
NOL4	1.7235776	1.294662769519211e-63
DCTN3	1.7212487	3.6679157557914086e-178
MYT1L	1.7210485	3.0779093268224874e-112
LINC01138	1.7188387	2.5244345839033938e-123
ZNF729	1.717113	1.797992051471226e-38
TUBA4A	1.7156385	4.1422661021108785e-123
SLC25A27	1.715604	8.15437986134598e-106
PCDH9	1.7150958	1.4569560198746151e-108
MYO1G	1.715046	3.0803300715942328e-58
RSPH9	1.7138319	1.7158213127602912e-96
NLRP1	1.7117641	3.890674331657446e-163
ANKRD24	1.7105281	4.481005337111575e-89
ZNF667-AS1	1.7086096	3.47257494200745e-135
FRS3	1.7076633	8.973532431352925e-178
ANKS1B	1.7072849	3.6133396107576604e-106
RP11-220C2.1	1.7070473	1.2677711084789759e-129
TCEAL3	1.7064828	3.5871401848651005e-176
RP11-1152H14.1	1.7041707	1.3530898967890797e-110
NACAD	1.7038466	9.643542531561033e-132
B4GALNT1	1.7015244	4.937642750333803e-129
TRAPPC1	1.7011539	2.3529146673225446e-198
AC006277.2	1.6984862	1.8490775354388136e-145
BEX5	1.6979946	5.19815476329519e-102
SLC35F4	1.6965755	7.764065607750897e-102
NPAS4	1.6960611	9.426411570403676e-125
CADM2	1.6954557	1.736449128105702e-110
ZSCAN1	1.6946251	1.196104792677486e-72
SPATA9	1.6939162	9.594230881789444e-84
LY6H	1.6934878	1.0681083221799547e-83
CCDC189	1.693368	1.6407083371672488e-181
MFI2	1.693253	1.2126836998163876e-118
PAK3	1.6915007	8.256256210189576e-144
SLC1A1	1.6909261	1.544386055361009e-130
CPE	1.690901	3.194860975844905e-111
RP11-505E24.3	1.6894327	7.203391510639185e-86
PCDH9-AS1	1.6887411	1.078961957599811e-125
SAMD10	1.6878686	5.223747929698068e-128
RP11-1275H24.3	1.6873639	2.7924186145990108e-61
F12	1.686879	1.8017814247368338e-112
CCDC60	1.6862161	3.053865091540754e-09
GRIN1	1.6854455	1.5282723701431003e-83
MARCKSL1	1.6850775	2.7046660139458265e-147
SERPINI1	1.6849347	9.982956685164909e-78
PARP6	1.6843797	4.148457324992135e-168
BAALC-AS2	1.6836363	3.808374606928423e-123
RP11-266J6.2	1.6825955	2.3249762630425243e-136
MRPS6	1.6822137	1.8821020236022771e-149
SRRM4	1.6821553	5.256750615330278e-75
PPP1R14C	1.6815834	3.531706325430128e-134
OPRL1	1.6804781	9.39987738543421e-102
LINC00957	1.6803269	1.7769397130701056e-136
